Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Species,Relative
C00079,,Metabolite,0.001,,,,,v1
C00185,,Metabolite,0.001,,,,,v2
C00212,,Metabolite,0.001,,,,,v3
C04734,,Metabolite,0.001,,,,,v4
C00214,,Metabolite,0.001,,,,,v5
C00417,,Metabolite,0.001,,,,,v6
C06312,,Metabolite,0.001,,,,,v7
C05713,,Metabolite,0.001,,,,,v8
C06157,,Metabolite,0.001,,,,,v9
C00049,,Metabolite,0.001,,,,,v10
C00575,,Metabolite,0.001,,,,,v11
C00606,,Metabolite,0.001,,,,,v12
C00082,,Metabolite,0.001,,,,,v13
C00143,,Metabolite,0.001,,,,,v14
C00685,,Metabolite,0.001,,,,,v15
C06136,,Metabolite,0.001,,,,,v16
C13563,,Metabolite,0.001,,,,,v17
C00334,,Metabolite,0.001,,,,,v18
C00369,,Metabolite,0.001,,,,,v19
C00262,,Metabolite,0.001,,,,,v20
C00327,,Metabolite,0.001,,,,,v21
C01240,,Metabolite,0.001,,,,,v22
C00693,,Metabolite,0.001,,,,,v23
C00437,,Metabolite,0.001,,,,,v24
C00647,,Metabolite,0.001,,,,,v25
C00236,,Metabolite,0.0011,,,,,v26
C00167,,Metabolite,0.001,,,,,v27
C14787,,Metabolite,0.001,,,,,v28
C00921,,Metabolite,0.001,,,,,v29
C00705,,Metabolite,0.001,,,,,v30
C00078,,Metabolite,0.001,,,,,v31
C01367,,Metabolite,0.001,,,,,v32
C00147,,Metabolite,0.001,,,,,v33
C00018,,Metabolite,1.001,,,,,v34
C05754,,Metabolite,0.001,,,,,v35
C03735,,Metabolite,0.001,,,,,v36
C14857,,Metabolite,0.001,,,,,v37
C12215,,Metabolite,0.001,,,,,v38
C04181,,Metabolite,0.001,,,,,v39
C00199,,Metabolite,0.5,,,,,v40
C05748,,Metabolite,0.001,,,,,v41
C04268,,Metabolite,0.001,,,,,v42
C00688,,Metabolite,0.001,,,,,v43
C00750,,Metabolite,0.001,,,,,v44
C00159,,Metabolite,0.001,,,,,v45
C01179,,Metabolite,0.001,,,,,v46
C01909,,Metabolite,0.001,,,,,v47
C00645,,Metabolite,0.001,,,,,v48
C01112,,Metabolite,0.001,,,,,v49
C03232,,Metabolite,0.001,,,,,v50
C05839,,Metabolite,0.001,,,,,v51
C00119,,Metabolite,0.001,,,,,v52
C01051,,Metabolite,0.001,,,,,v53
C06135,,Metabolite,0.001,,,,,v54
C03722,,Metabolite,0.001,,,,,v55
C04006,,Metabolite,0.001,,,,,v56
C00864,,Metabolite,0.001,,,,,v57
C00233,,Metabolite,0.001,,,,,v58
C01450,,Metabolite,0.001,,,,,v59
C00001,,Metabolite,10,,,,,v60
C04039,,Metabolite,0.001,,,,,v61
C03263,,Metabolite,0.001,,,,,v62
C03451,,Metabolite,0.001,,,,,v63
C00227,,Metabolite,1.1,,,,,v64
C01271,,Metabolite,0.001,,,,,v65
C03160,,Metabolite,0.001,,,,,v66
C05768,,Metabolite,0.001,,,,,v67
C07600,,Metabolite,0.001,,,,,v68
C16664,,Metabolite,0.001,,,,,v69
C05394,,Metabolite,0.001,,,,,v70
C05399,,Metabolite,0.001,,,,,v71
C00071,,Metabolite,0.001,,,,,v72
C00248,,Metabolite,0.001,,,,,v73
C04232,,Metabolite,0.001,,,,,v74
C00111,,Metabolite,0.37,,,,,v75
C00460,,Metabolite,0.001,,,,,v76
C01250,,Metabolite,0.001,,,,,v77
C04281,,Metabolite,0.001,,,,,v78
C00160,,Metabolite,0.001,,,,,v79
C00104,,Metabolite,0.001,,,,,v80
C05512,,Metabolite,0.001,,,,,v81
C16619,,Metabolite,0.001,,,,,v82
C04051,,Metabolite,0.001,,,,,v83
C00130,,Metabolite,0.001,,,,,v84
C00441,,Metabolite,0.001,,,,,v85
C01013,,Metabolite,0.001,,,,,v86
C00462,,Metabolite,0.001,,,,,v87
C11437,,Metabolite,0.001,,,,,v88
C05125,,Metabolite,0.001,,,,,v89
C00979,,Metabolite,0.001,,,,,v90
C00631,,Metabolite,0.0011,,,,,v91
C15973,,Metabolite,0.001,,,,,v92
C00221,,Metabolite,0.001,,,,,v93
C00320,,Metabolite,0.001,,,,,v94
C00492,,Metabolite,0.001,,,,,v95
C00447,,Metabolite,0.001,,,,,v96
C01094,,Metabolite,0.001,,,,,v97
C06018,,Metabolite,0.001,,,,,v98
C00576,,Metabolite,0.001,,,,,v99
C00099,,Metabolite,0.001,,,,,v100
C00019,,Metabolite,0.001,,,,,v101
C01180,,Metabolite,0.001,,,,,v102
C00064,,Metabolite,0.001,,,,,v103
C00719,,Metabolite,0.001,,,,,v104
C01146,,Metabolite,0.001,,,,,v105
C14839,,Metabolite,0.001,,,,,v106
C04133,,Metabolite,0.001,,,,,v107
C14840,,Metabolite,0.001,,,,,v108
C01444,,Metabolite,0.001,,,,,v109
C16551,,Metabolite,0.001,,,,,v110
C02380,,Metabolite,0.001,,,,,v111
C02987,,Metabolite,0.001,,,,,v112
C00806,,Metabolite,0.001,,,,,v113
C00931,,Metabolite,0.001,,,,,v114
C14865,,Metabolite,0.001,,,,,v115
C05744,,Metabolite,0.001,,,,,v116
C04646,,Metabolite,0.001,,,,,v117
C14803,,Metabolite,0.001,,,,,v118
C05382,,Metabolite,0.0011,,,,,v119
C00364,,Metabolite,0.001,,,,,v120
C14806,,Metabolite,0.001,,,,,v121
C14874,,Metabolite,0.001,,,,,v122
C14870,,Metabolite,0.001,,,,,v123
C00689,,Metabolite,0.001,,,,,v124
C00726,,Metabolite,0.001,,,,,v125
C04332,,Metabolite,0.001,,,,,v126
C06232,,Metabolite,0.001,,,,,v127
C02876,,Metabolite,0.001,,,,,v128
C11592,,Metabolite,0.001,,,,,v129
C04896,,Metabolite,0.001,,,,,v130
C14793,,Metabolite,0.001,,,,,v131
C05445,,Metabolite,0.001,,,,,v132
C01721,,Metabolite,0.001,,,,,v133
C00475,,Metabolite,0.001,,,,,v134
C01172,,Metabolite,0.001,,,,,v135
C05763,,Metabolite,0.001,,,,,v136
C05688,,Metabolite,0.001,,,,,v137
C16433,,Metabolite,0.001,,,,,v138
C05698,,Metabolite,0.001,,,,,v139
C01005,,Metabolite,0.001,,,,,v140
C00490,,Metabolite,0.001,,,,,v141
C00054,,Metabolite,0.001,,,,,v142
C00062,,Metabolite,0.001,,,,,v143
C01019,,Metabolite,0.001,,,,,v144
C01755,,Metabolite,0.001,,,,,v145
C00911,,Metabolite,0.001,,,,,v146
C03692,,Metabolite,0.001,,,,,v147
C00131,,Metabolite,0.001,,,,,v148
C11278,,Metabolite,0.001,,,,,v149
C00390,,Metabolite,0.001,,,,,v150
C00177,,Metabolite,0.001,,,,,v151
C14786,,Metabolite,0.001,,,,,v152
C00226,,Metabolite,0.001,,,,,v153
C00330,,Metabolite,0.001,,,,,v154
C14848,,Metabolite,0.001,,,,,v155
C01612,,Metabolite,0.001,,,,,v156
C16633,,Metabolite,0.001,,,,,v157
C05444,,Metabolite,0.001,,,,,v158
C00014,,Metabolite,0.001,,,,,v159
C00251,,Metabolite,0.001,,,,,v160
C00153,,Metabolite,0.001,,,,,v161
C05650,,Metabolite,0.001,,,,,v162
C05726,,Metabolite,0.001,,,,,v163
C00121,,Metabolite,0.001,,,,,v164
C04884,,Metabolite,0.001,,,,,v165
C06056,,Metabolite,0.001,,,,,v166
C01326,,Metabolite,0.001,,,,,v167
C06126,,Metabolite,0.001,,,,,v168
C03539,,Metabolite,0.001,,,,,v169
C00768,,Metabolite,0.001,,,,,v170
C07648,,Metabolite,0.001,,,,,v171
C03090,,Metabolite,0.001,,,,,v172
C04489,,Metabolite,0.001,,,,,v173
C16738,,Metabolite,0.001,,,,,v174
C04691,,Metabolite,0.001,,,,,v175
C06148,,Metabolite,0.001,,,,,v176
C03444,,Metabolite,0.001,,,,,v177
C00415,,Metabolite,0.001,,,,,v178
C11583,,Metabolite,0.001,,,,,v179
C03912,,Metabolite,0.001,,,,,v180
C02520,,Metabolite,0.001,,,,,v181
C01327,,Metabolite,0.001,,,,,v182
C00668,,Metabolite,0.001,,,,,v183
C05760,,Metabolite,0.001,,,,,v184
C00469,,Metabolite,0.001,,,,,v185
C00169,,Metabolite,0.001,,,,,v186
C03406,,Metabolite,0.001,,,,,v187
C05983,,Metabolite,0.001,,,,,v188
C00577,,Metabolite,0.001,,,,,v189
C05750,,Metabolite,0.001,,,,,v190
C00345,,Metabolite,3.8,,,,,v191
C00081,,Metabolite,0.001,,,,,v192
C00385,,Metabolite,0.001,,,,,v193
C05401,,Metabolite,0.001,,,,,v194
C00011,,Metabolite,10.001,,,,,v195
C00173,,Metabolite,0.001,,,,,v196
C15812,,Metabolite,0.001,,,,,v197
C02320,,Metabolite,0.001,,,,,v198
C00067,,Metabolite,0.001,,,,,v199
C02972,,Metabolite,0.001,,,,,v200
C05755,,Metabolite,0.001,,,,,v201
C00242,,Metabolite,0.001,,,,,v202
C00123,,Metabolite,0.001,,,,,v203
C00255,,Metabolite,0.001,,,,,v204
C05198,,Metabolite,0.001,,,,,v205
C16348,,Metabolite,0.001,,,,,v206
C00031,,Metabolite,0.001,,,,,v207
C00209,,Metabolite,0.001,,,,,v208
C04677,,Metabolite,0.001,,,,,v209
C00114,,Metabolite,0.001,,,,,v210
C00026,,Metabolite,0.44,,,,,v211
C00020,,Metabolite,0.001,,,,,v212
C06899,,Metabolite,0.001,,,,,v213
C00760,,Metabolite,0.001,,,,,v214
C00231,,Metabolite,0.5,,,,,v215
C15587,,Metabolite,0.001,,,,,v216
C11215,,Metabolite,0.001,,,,,v217
C00134,,Metabolite,0.001,,,,,v218
C14463,,Metabolite,0.001,,,,,v219
C01401,,Metabolite,0.001,,,,,v220
C00546,,Metabolite,0.001,,,,,v221
C14871,,Metabolite,0.001,,,,,v222
C04916,,Metabolite,0.001,,,,,v223
C15532,,Metabolite,0.001,,,,,v224
C07836,,Metabolite,0.001,,,,,v225
C14868,,Metabolite,0.001,,,,,v226
C19935,,Metabolite,0.001,,,,,v227
C07182,,Metabolite,0.001,,,,,v228
C05796,,Metabolite,0.001,,,,,v229
C00620,,Metabolite,0.001,,,,,v230
C05751,,Metabolite,0.001,,,,,v231
C00311,,Metabolite,0.001,,,,,v232
C01021,,Metabolite,0.001,,,,,v233
C00101,,Metabolite,0.001,,,,,v234
C00006,,Metabolite,0.0021,,,,,v235
C00826,,Metabolite,0.001,,,,,v236
C03972,,Metabolite,0.001,,,,,v237
C00389,,Metabolite,0.001,,,,,v238
C00179,,Metabolite,0.001,,,,,v239
C05729,,Metabolite,0.001,,,,,v240
C01159,,Metabolite,0.001,,,,,v241
C00043,,Metabolite,0.001,,,,,v242
C00857,,Metabolite,0.001,,,,,v243
C00842,,Metabolite,0.001,,,,,v244
C00680,,Metabolite,0.001,,,,,v245
